time,seconds_elapsed,z,y,x
1772650345795021300,0.232021240234375,-0.04979848861694336,0.03212261199951172,0.02556300163269043
1772650345814775300,0.251775390625,-0.03029012680053711,0.017915725708007812,0.02032923698425293
1772650345834529500,0.271529541015625,-0.017878055572509766,0.007274627685546875,0.006624579429626465
1772650345854283800,0.29128369140625,0.006867885589599609,0.02832317352294922,0.016650676727294922
1772650345874038000,0.3110380859375,-0.026119232177734375,0.012782096862792969,-0.029567360877990723
1772650345893792300,0.330792236328125,-0.038768768310546875,0.054770469665527344,-0.0473591685295105
1772650345913546500,0.35054638671875,0.005850791931152344,0.04171276092529297,0.01535719633102417
1772650345933300700,0.37030078125,-0.027558326721191406,0.016050338745117188,0.006089270114898682
1772650345953055000,0.390054931640625,0.07835578918457031,0.02344512939453125,0.04008889198303223
1772650345972809200,0.409809326171875,0.019147396087646484,0.019578933715820312,0.0033372044563293457
1772650345992563500,0.4295634765625,-0.058003902435302734,0.029794692993164062,-0.05617189407348633
1772650346012317400,0.4493173828125,-0.014647483825683594,0.05780220031738281,-0.01728576421737671
1772650346032071700,0.46907177734375,-0.07215023040771484,0.014445304870605469,-0.015548110008239746
1772650346051826000,0.488825927734375,-0.014920234680175781,0.043178558349609375,-0.036532461643218994
1772650346071580200,0.508580078125,-0.0031332969665527344,0.005766868591308594,-0.01618129014968872
1772650346091334400,0.52833447265625,0.0428767204284668,0.04443073272705078,0.02431654930114746
1772650346111088600,0.548088623046875,-0.008555412292480469,0.05395793914794922,0.0016618967056274414
1772650346130843000,0.5678427734375,-0.02365875244140625,0.011508941650390625,-0.027861297130584717
1772650346150597000,0.58759716796875,-0.03516101837158203,-0.0049724578857421875,-0.021202027797698975
1772650346170351400,0.607351318359375,-0.009369373321533203,0.00507354736328125,-0.0012837648391723633
1772650346190105600,0.627105712890625,-0.02164316177368164,0.0032567977905273438,-0.003515183925628662
1772650346209859600,0.646859619140625,0.035620689392089844,0.06753063201904297,-0.0029485225677490234
1772650346229614000,0.666614013671875,0.033261775970458984,0.06108283996582031,0.0126456618309021
1772650346249368000,0.6863681640625,0.026519298553466797,0.055993080139160156,0.014278054237365723
1772650346269122300,0.706122314453125,-0.015369415283203125,0.018340110778808594,-0.040796637535095215
1772650346288876500,0.72587646484375,-0.046106815338134766,0.014203071594238281,-0.09137225151062012
1772650346308630800,0.745630859375,-0.019779682159423828,0.013484001159667969,-0.04502105712890625
1772650346328385000,0.765385009765625,0.03571176528930664,0.0549163818359375,0.012563347816467285
1772650346348139300,0.78513916015625,-0.03580617904663086,0.0514678955078125,-0.053168416023254395
1772650346367893500,0.8048935546875,0.024358749389648438,0.060416221618652344,-0.0290641188621521
1772650346387647700,0.824647705078125,0.0002493858337402344,0.05417823791503906,-0.024830758571624756
1772650346407402000,0.844402099609375,-0.011920928955078125,0.041382789611816406,-0.02777177095413208
1772650346427156000,0.864156005859375,-0.04940366744995117,0.02373790740966797,-0.06490451097488403
1772650346446910200,0.88391015625,0.024282455444335938,0.07282543182373047,-0.0034160614013671875
1772650346466664400,0.90366455078125,0.008508682250976562,0.03268146514892578,0.035407304763793945
1772650346486418700,0.923418701171875,0.0099334716796875,0.04958629608154297,0.04040104150772095
