time,seconds_elapsed,z,y,x
1772650705955324000,0.119323974609375,7.606184959411621,-4.874777793884277,-1.5493526458740234
1772650705975078400,0.139078369140625,7.303493022918701,-4.205984115600586,-1.0612168312072754
1772650705994833000,0.1588330078125,6.97268533706665,-4.287938117980957,-0.7334001660346985
1772650706004710100,0.168710205078125,7.258627414703369,-4.6887359619140625,-0.6705885529518127
1772650706014587400,0.17858740234375,7.143173694610596,-5.08355188369751,-0.46360939741134644
1772650706024464600,0.188464599609375,7.2921271324157715,-5.343173027038574,-0.4468596279621124
1772650706034341600,0.198341552734375,7.5326056480407715,-5.594419479370117,-0.4049852192401886
1772650706044219000,0.208218994140625,7.791628837585449,-5.793023586273193,-0.33738797903060913
1772650706054096100,0.21809619140625,8.093124389648438,-6.02811861038208,-0.28594231605529785
1772650706063973400,0.227973388671875,8.352147102355957,-6.235695838928223,-0.40378883481025696
1772650706073850600,0.2378505859375,8.481958389282227,-6.526423931121826,-0.4654040038585663
1772650706083728000,0.247727783203125,9.129216194152832,-7.037291526794434,-0.7417750358581543
1772650706093605000,0.257605224609375,10.328021049499512,-7.883154392242432,-1.1569297313690186
1772650706103482400,0.267482421875,11.805588722229004,-8.836095809936523,-1.3764712810516357
1772650706113359400,0.277359375,13.421341896057129,-9.734601020812988,-1.428515076637268
1772650706123236600,0.287236572265625,15.03290843963623,-10.065408706665039,-1.1736794710159302
1772650706133113900,0.29711376953125,16.847864151000977,-10.229914665222168,-1.6528422832489014
1772650706142991000,0.3069912109375,18.37986946105957,-10.323235511779785,-2.8109683990478516
1772650706152868400,0.316868408203125,20.132612228393555,-10.688738822937012,-4.083950042724609
1772650706162745600,0.32674560546875,21.53061866760254,-11.422737121582031,-5.589633464813232
1772650706172622800,0.336622802734375,22.744976043701172,-11.854641914367676,-5.888138294219971
1772650706182500000,0.3465,23.6578369140625,-12.028120994567871,-4.619344234466553
1772650706192377300,0.35637744140625,24.399612426757812,-11.783454895019531,-3.4474592208862305
1772650706202254300,0.36625439453125,23.891735076904297,-11.308480262756348,-2.9976086616516113
1772650706212131600,0.376131591796875,21.88056755065918,-10.530214309692383,-2.6428725719451904
1772650706222008800,0.3860087890625,18.70110511779785,-9.205188751220703,-2.2707886695861816
1772650706231872300,0.395872314453125,15.732211112976074,-6.69990348815918,-1.5176477432250977
1772650706241763300,0.405763427734375,12.482757568359375,-5.67039155960083,-2.836092948913574
1772650706251640600,0.415640625,9.116654396057129,-5.709873199462891,-3.4809587001800537
1772650706261504000,0.42550390625,5.624927997589111,-5.821737289428711,-3.321237802505493
1772650706271394800,0.435394775390625,2.7254250049591064,-5.154139995574951,-1.3992030620574951
1772650706281272000,0.44527197265625,-0.882951557636261,-4.252045631408691,-0.4301098585128784
1772650706291135500,0.455135498046875,-3.8536407947540283,-3.9631125926971436,-0.7082754969596863
1772650706301026600,0.465026611328125,-6.7794647216796875,-3.084348440170288,-1.4757733345031738
1772650706310903800,0.47490380859375,-8.545368194580078,-3.3122646808624268,-2.417349100112915
1772650706320767200,0.484767333984375,-10.576874732971191,-2.8977081775665283,-3.4672000408172607
1772650706330658300,0.494658203125,-10.980663299560547,-1.7168502807617188,-3.806382656097412
1772650706340535600,0.50453564453125,-10.1216402053833,-1.1264212131500244,-4.010969161987305
1772650706350399000,0.51439892578125,-7.812565803527832,0.07477571070194244,-2.730808734893799
1772650706360289800,0.524289794921875,-4.810770034790039,0.5676971673965454,-0.5048855543136597
1772650706370167000,0.5341669921875,-2.5220351219177246,0.8291130661964417,-0.9523434042930603
1772650706380030500,0.544030517578125,-1.8903298377990723,1.1389836072921753,-1.0007981061935425
1772650706389921500,0.553921630859375,-1.0372886657714844,0.6137589812278748,-0.36251261830329895
1772650706399798800,0.563798828125,-1.0139585733413696,0.8428717851638794,-0.6269195079803467
1772650706409662200,0.573662109375,-0.4061816334724426,0.755533754825592,-0.029910283163189888
1772650706419553300,0.58355322265625,0.026919255033135414,1.6576279401779175,-0.1339980661869049
1772650706429430500,0.593430419921875,0.11844471842050552,1.2023934125900269,0.6137589812278748
1772650706439294000,0.6032939453125,1.0558329820632935,0.7914260625839233,0.45224347710609436
1772650706449184800,0.613184814453125,1.9250258207321167,0.004785645287483931,0.8668000102043152
1772650706459062000,0.62306201171875,2.2953150272369385,-0.5718846321105957,1.057627558708191
1772650706468925400,0.632925537109375,3.6340994834899902,-2.224726915359497,0.7926225066184998
1772650706478816500,0.64281640625,4.7264227867126465,-3.6987056732177734,0.18903298676013947
1772650706488693800,0.65269384765625,4.71744966506958,-3.7567315101623535,0.31824541091918945
1772650706498570800,0.66257080078125,4.037888050079346,-2.3401806354522705,0.26141586899757385
1772650706508448000,0.672447998046875,3.0933215618133545,-1.4398809671401978,-1.0241280794143677
1772650706518325200,0.6823251953125,3.500699520111084,-2.466402053833008,-2.5591237545013428
1772650706528188700,0.692188720703125,4.650450706481934,-3.9744784832000732,-4.5684967041015625
1772650706538079700,0.702079833984375,5.6656060218811035,-5.475376605987549,-6.618547439575195
1772650706547957000,0.71195703125,6.927221775054932,-6.574878215789795,-7.814958572387695
1772650706557820400,0.7218203125,8.562117576599121,-8.515457153320312,-9.169296264648438
1772650706567711200,0.731711181640625,14.69073486328125,-14.718850135803223,-10.250852584838867
1772650706577588500,0.74158837890625,23.750558853149414,-24.476781845092773,-11.684152603149414
1772650706587452000,0.751451904296875,29.398218154907227,-24.11845588684082,-11.163115501403809
1772650706597343000,0.761343017578125,24.96312141418457,-9.178269386291504,-12.64726448059082
1772650706607220200,0.77122021484375,26.10749053955078,-7.221538543701172,-14.754742622375488
1772650706617083600,0.781083740234375,24.52703094482422,-10.265209197998047,-16.16411590576172
1772650706626974700,0.790974609375,20.828922271728516,-12.728620529174805,-16.928024291992188
1772650706636852000,0.80085205078125,20.377277374267578,-17.745771408081055,-18.0903377532959
1772650706646715400,0.81071533203125,20.698514938354492,-18.588045120239258,-16.689340591430664
1772650706656606500,0.8206064453125,19.81077766418457,-15.458232879638672,-14.003396034240723
1772650706666483500,0.8304833984375,17.34676742553711,-11.874980926513672,-13.00379467010498
1772650706676347100,0.84034716796875,15.512070655822754,-10.286744117736816,-12.324831008911133
1772650706686238000,0.850238037109375,13.254443168640137,-8.602795600891113,-11.401800155639648
1772650706696115200,0.860115234375,11.059626579284668,-7.6869425773620605,-10.552348136901855
1772650706705978600,0.869978515625,9.311071395874023,-7.285546779632568,-9.55633544921875
1772650706715869700,0.87986962890625,7.611568927764893,-6.267400741577148,-7.627720355987549
1772650706725747000,0.889746826171875,6.521637916564941,-6.518647193908691,-5.757729530334473
1772650706735610400,0.8996103515625,5.040481090545654,-6.50189733505249,-4.589433670043945
1772650706745501200,0.909501220703125,2.8666014671325684,-5.803193092346191,-4.548157691955566
1772650706755378400,0.91937841796875,0.8213363885879517,-4.989633560180664,-4.456034183502197
1772650706765241900,0.929241943359375,-0.7639086246490479,-2.8522446155548096,-4.362115859985352
1772650706775133000,0.9391328125,-1.9597218036651611,-0.6197410821914673,-3.896711587905884
1772650706785010200,0.94901025390625,-2.761317253112793,0.6376872062683105,-3.2679975032806396
1772650706794873600,0.95887353515625,-2.7726831436157227,0.7884350419044495,-2.1780667304992676
1772650706804764700,0.9687646484375,-2.696112871170044,0.877567708492279,-0.8973084688186646
1772650706814642000,0.978641845703125,-2.541177749633789,0.6789634227752686,0.038285162299871445
1772650706824505300,0.98850537109375,-2.104487419128418,0.059820566326379776,0.9888339638710022
1772650706834396400,0.998396484375,-1.3854442834854126,-0.9038887619972229,1.7443677186965942
1772650706844273400,1.0082734375,-0.7746763229370117,-1.7395820617675781,2.1505494117736816
1772650706854137000,1.01813720703125,-0.5778666734695435,-1.8245272636413574,2.462812662124634
1772650706864028000,1.02802783203125,-0.5144568681716919,-0.9218349456787109,2.5298118591308594
1772650706873905200,1.0379052734375,0.029312077909708023,-0.13998012244701385,2.53399920463562
1772650706883768600,1.0477685546875,0.8955138921737671,-0.15134602785110474,1.9567307233810425
1772650706893659600,1.05765966796875,1.4327025413513184,0.21655045449733734,1.5290136337280273
1772650706903537000,1.067536865234375,1.2819547653198242,0.8273184299468994,1.373480200767517
1772650706913414000,1.077413818359375,0.9684949517250061,0.9678967595100403,1.225723385810852
1772650706923291100,1.087291015625,0.11485548317432404,0.5312066078186035,0.7854440212249756
1772650706933168400,1.09716845703125,-0.6915257573127747,-0.13639089465141296,0.08733802288770676
1772650706943031800,1.10703173828125,-1.231107234954834,-0.48095735907554626,-0.5790630578994751
1772650706952923000,1.1169228515625,-1.374078392982483,-0.8267202377319336,-1.48055899143219
1772650706962800000,1.126800048828125,-1.357926845550537,-1.0839486122131348,-2.4765713214874268
1772650706972663600,1.13666357421875,-0.8147560954093933,-1.1078768968582153,-3.4815568923950195
1772650706982554600,1.1465546875,-0.7369893789291382,-1.3070793151855469,-3.1316065788269043
1772650706992431900,1.156431884765625,-0.6526423692703247,-1.4626128673553467,-2.9377880096435547
1772650707002308900,1.166308837890625,-0.6323033571243286,-1.9824535846710205,-3.1992039680480957
1772650707012186000,1.17618603515625,-0.0891326442360878,-2.451446771621704,-2.5698914527893066
1772650707022063400,1.1860634765625,0.8703892230987549,-3.373281717300415,-2.304288148880005
1772650707031926800,1.1959267578125,2.252244234085083,-4.9190449714660645,-2.5746772289276123
1772650707041817900,1.20581787109375,4.561318397521973,-6.9690961837768555,-3.6227335929870605
1772650707051695000,1.215695068359375,9.365508079528809,-9.44746208190918,-3.5461630821228027
1772650707061558500,1.22555859375,16.3106746673584,-13.765310287475586,-1.7198412418365479
1772650707071449600,1.23544970703125,22.477577209472656,-17.897714614868164,-0.4450650215148926
