time,seconds_elapsed,z,y,x
1772556604845229800,0.065229736328125,-0.868988037109375,-0.4415283203125,-0.3276519775390625
1772556604855213800,0.0752138671875,-0.8748626708984375,-0.50927734375,-0.313323974609375
1772556604865197800,0.08519775390625,-0.9037933349609375,-0.5200653076171875,-0.30023193359375
1772556604875181800,0.095181884765625,-0.9641571044921875,-0.5510101318359375,-0.318145751953125
1772556604885166800,0.105166748046875,-1.051788330078125,-0.5255889892578125,-0.329864501953125
1772556604895150800,0.11515087890625,-1.1910400390625,-0.4186248779296875,-0.3071441650390625
1772556604905134800,0.125134765625,-1.3628692626953125,-0.31005859375,-0.2579803466796875
1772556604915118800,0.135118896484375,-1.47259521484375,-0.24420166015625,-0.2037353515625
1772556604925103900,0.145103759765625,-1.4703826904296875,-0.1976776123046875,-0.1849365234375
1772556604935087900,0.155087890625,-1.3844146728515625,-0.1535186767578125,-0.2071380615234375
1772556604945071900,0.16507177734375,-1.1986236572265625,-0.1249847412109375,-0.2026519775390625
1772556604955055900,0.175055908203125,-0.9482574462890625,-0.1061553955078125,-0.1735992431640625
1772556604965041000,0.185041015625,-0.768402099609375,-0.091461181640625,-0.1334381103515625
1772556604975025000,0.19502490234375,-0.71820068359375,-0.1344146728515625,-0.0858306884765625
1772556604985009000,0.2050087890625,-0.7426605224609375,-0.187591552734375,-0.060943603515625
1772556604994992600,0.21499267578125,-0.7959442138671875,-0.2632598876953125,-0.0731048583984375
1772556605004978000,0.22497802734375,-0.8606719970703125,-0.3326263427734375,-0.085906982421875
1772556605014962000,0.2349619140625,-0.88836669921875,-0.386383056640625,-0.0887603759765625
1772556605024945700,0.244945556640625,-0.8907318115234375,-0.4315032958984375,-0.0942840576171875
1772556605034929700,0.2549296875,-0.8980712890625,-0.4343719482421875,-0.0884857177734375
1772556605044914700,0.264914794921875,-0.9193878173828125,-0.3985595703125,-0.0684814453125
1772556605054898700,0.274898681640625,-0.951263427734375,-0.37353515625,-0.0640869140625
1772556605064882700,0.284882568359375,-1.00701904296875,-0.358306884765625,-0.0575714111328125
1772556605074866700,0.29486669921875,-1.02496337890625,-0.345428466796875,-0.069091796875
1772556605084851700,0.304851806640625,-0.9963836669921875,-0.3265533447265625,-0.1081695556640625
1772556605094835700,0.314835693359375,-0.9489593505859375,-0.3194427490234375,-0.1617279052734375
1772556605104819700,0.32481982421875,-0.913665771484375,-0.3212738037109375,-0.21917724609375
1772556605114803700,0.3348037109375,-0.8841705322265625,-0.3177642822265625,-0.2557373046875
1772556605124788700,0.344788818359375,-0.863983154296875,-0.31341552734375,-0.26513671875
1772556605134772700,0.354772705078125,-0.8556671142578125,-0.3167877197265625,-0.2508544921875
1772556605144756700,0.3647568359375,-0.84393310546875,-0.3196258544921875,-0.2186431884765625
1772556605154740700,0.37474072265625,-0.8470611572265625,-0.3256072998046875,-0.19329833984375
1772556605164725800,0.384725830078125,-0.8669281005859375,-0.3331451416015625,-0.1613311767578125
1772556605174709800,0.394709716796875,-0.9042510986328125,-0.34515380859375,-0.125030517578125
1772556605184693800,0.40469384765625,-0.9419708251953125,-0.351898193359375,-0.046295166015625
1772556605194677800,0.414677734375,-0.8451385498046875,-0.31536865234375,-0.0183868408203125
1772556605204662800,0.424662841796875,-0.6788330078125,-0.2955169677734375,-0.03497314453125
1772556605214646800,0.434646728515625,-0.755828857421875,-0.2900390625,-0.038055419921875
1772556605224630800,0.444630859375,-0.7393798828125,-0.2956390380859375,-0.0492706298828125
1772556605234614800,0.45461474609375,-0.7316741943359375,-0.2968902587890625,-0.0585174560546875
1772556605244599800,0.464599853515625,-0.738037109375,-0.291717529296875,-0.061187744140625
1772556605254583800,0.474583740234375,-0.72674560546875,-0.2965240478515625,-0.056243896484375
1772556605264567800,0.48456787109375,-0.718231201171875,-0.307220458984375,-0.057464599609375
1772556605274551800,0.4945517578125,-0.7333221435546875,-0.30804443359375,-0.0561676025390625
1772556605284536800,0.504536865234375,-0.7596893310546875,-0.326629638671875,-0.05133056640625
1772556605294520800,0.514520751953125,-0.7677459716796875,-0.33685302734375,-0.04364013671875
1772556605304504800,0.5245048828125,-0.7807769775390625,-0.337921142578125,-0.0439605712890625
1772556605314488800,0.53448876953125,-0.8112030029296875,-0.350616455078125,-0.04913330078125
1772556605324473900,0.544473876953125,-0.8295745849609375,-0.367095947265625,-0.0631103515625
1772556605334457300,0.554457275390625,-0.855743408203125,-0.3822479248046875,-0.0733184814453125
1772556605344441300,0.56444140625,-0.8936767578125,-0.405670166015625,-0.0575714111328125
1772556605354425300,0.57442529296875,-0.9284515380859375,-0.426025390625,-0.0367584228515625
1772556605364410400,0.584410400390625,-0.94921875,-0.44769287109375,-0.02545166015625
1772556605374394400,0.594394287109375,-0.9616241455078125,-0.4614715576171875,-0.0142822265625
1772556605384378400,0.60437841796875,-0.9732818603515625,-0.4698944091796875,0.0002288818359375
1772556605394362400,0.6143623046875,-0.9625244140625,-0.47479248046875,0.0069122314453125
1772556605404347400,0.624347412109375,-0.937042236328125,-0.4884185791015625,0.0032806396484375
1772556605414331400,0.634331298828125,-0.915924072265625,-0.5038604736328125,-0.008392333984375
1772556605424315400,0.6443154296875,-0.9362335205078125,-0.473236083984375,-0.0264739990234375
1772556605434299400,0.65429931640625,-1.0041961669921875,-0.4028167724609375,-0.0369873046875
1772556605444284400,0.664284423828125,-1.078521728515625,-0.3855438232421875,-0.0511932373046875
1772556605454268400,0.674268310546875,-1.154022216796875,-0.41290283203125,-0.0622100830078125
1772556605464252400,0.68425244140625,-1.2461700439453125,-0.3859100341796875,-0.053558349609375
1772556605474236400,0.694236328125,-1.303009033203125,-0.3339080810546875,-0.0435028076171875
1772556605484221400,0.704221435546875,-1.290130615234375,-0.303070068359375,-0.052520751953125
1772556605494205400,0.714205322265625,-1.3104400634765625,-0.3159027099609375,-0.1278533935546875
1772556605504189400,0.724189453125,-1.16558837890625,-0.31353759765625,-0.1246337890625
1772556605514173400,0.73417333984375,-1.1474761962890625,-0.267822265625,-0.1178436279296875
1772556605524158500,0.744158447265625,-1.073486328125,-0.239044189453125,-0.1133880615234375
1772556605534142500,0.754142578125,-1.05072021484375,-0.2166900634765625,-0.0982513427734375
1772556605544126500,0.76412646484375,-1.0389251708984375,-0.2335205078125,-0.0714263916015625
1772556605554110500,0.7741103515625,-1.0401458740234375,-0.266021728515625,-0.0283660888671875
1772556605564095500,0.784095458984375,-1.059844970703125,-0.311065673828125,0.03973388671875
1772556605574079500,0.79407958984375,-1.0528411865234375,-0.3555450439453125,0.118621826171875
1772556605584063500,0.8040634765625,-1.0287322998046875,-0.3835906982421875,0.181732177734375
