time,seconds_elapsed,z,y,x
1772562221247460400,0.07346044921875,0.037823885679244995,-0.11737284809350967,0.054735809564590454
1772562221257442300,0.0834423828125,0.0660330206155777,-0.09650487452745438,0.03504456579685211
1772562221267425300,0.09342529296875,0.08794151246547699,-0.06775977462530136,-0.010061129927635193
1772562221277407500,0.103407470703125,0.09516341984272003,-0.043281491845846176,-0.06668553501367569
1772562221287390200,0.11339013671875,0.10671035200357437,-0.021601762622594833,-0.12297649681568146
1772562221297373200,0.123373291015625,0.11562519520521164,0.006691803690046072,-0.15690767765045166
1772562221307355400,0.13335546875,0.11688274145126343,0.02485829032957554,-0.17485205829143524
1772562221317338000,0.143338134765625,0.10785629600286484,0.023258456960320473,-0.1863769292831421
1772562221327320300,0.1533203125,0.10626665502786636,0.01613609865307808,-0.1910073608160019
1772562221337303300,0.16330322265625,0.09321929514408112,0.0021256343461573124,-0.19203408062458038
1772562221347286300,0.173286376953125,0.08258529007434845,-0.013987288810312748,-0.19227510690689087
1772562221357268200,0.183268310546875,0.06658570468425751,-0.022688250988721848,-0.19110232591629028
1772562221367251500,0.19325146484375,0.0481899194419384,-0.031470559537410736,-0.18807777762413025
1772562221377233200,0.203233154296875,0.03246507793664932,-0.024179361760616302,-0.1807638555765152
1772562221387216400,0.21321630859375,0.02443884126842022,-0.015451649203896523,-0.176761656999588
1772562221397198000,0.223197998046875,0.025993002578616142,-0.005566788837313652,-0.17637105286121368
1772562221407181300,0.233181396484375,0.022445673123002052,-0.011678744107484818,-0.17699769139289856
1772562221417164300,0.243164306640625,0.02050117775797844,-0.01671210490167141,-0.1767142117023468
1772562221427146200,0.253146240234375,0.02014351449906826,-0.014061993919312954,-0.18036088347434998
1772562221437129200,0.263129150390625,0.027569206431508064,-0.0046277460642158985,-0.191493958234787
1772562221447111400,0.273111328125,0.028057098388671875,0.0033819773234426975,-0.2034483551979065
1772562221457094100,0.28309423828125,0.03759130463004112,0.0056885057128965855,-0.2203936129808426
1772562221467077400,0.293077392578125,0.0433671697974205,0.008875243365764618,-0.2348356693983078
1772562221477059300,0.303059326171875,0.05111202225089073,0.01802590861916542,-0.24087011814117432
1772562221487042300,0.313042236328125,0.056663915514945984,0.0334666483104229,-0.23638081550598145
1772562221497024300,0.323024169921875,0.06134739890694618,0.0491911843419075,-0.23173494637012482
1772562221507007500,0.333007568359375,0.06634961068630219,0.05991600081324577,-0.21033990383148193
1772562221516990200,0.342990234375,0.06794490665197372,0.07068927586078644,-0.18988275527954102
1772562221526972400,0.352972412109375,0.05914289131760597,0.09420392662286758,-0.19306443631649017
1772562221536955400,0.362955322265625,0.049928415566682816,0.11918613314628601,-0.21157978475093842
1772562221546937300,0.372937255859375,0.041695255786180496,0.14522704482078552,-0.24264289438724518
1772562221556920300,0.38292041015625,0.03854900971055031,0.15322881937026978,-0.2658739686012268
1772562221566903300,0.3929033203125,0.029499052092432976,0.15116193890571594,-0.272813618183136
1772562221576885200,0.40288525390625,0.005707439035177231,0.1329953521490097,-0.25855061411857605
1772562221586868200,0.4128681640625,-0.023813702166080475,0.10569582134485245,-0.2247588336467743
1772562221596850400,0.422850341796875,-0.06156414747238159,0.07225149869918823,-0.17151261866092682
1772562221606833200,0.432833251953125,-0.1072208434343338,0.06691212207078934,-0.11588983237743378
1772562221616816400,0.44281640625,-0.1323186308145523,0.0651620402932167,-0.08470839262008667
1772562221626798300,0.45279833984375,-0.13109010457992554,0.06310821324586868,-0.08749938756227493
1772562221636781300,0.46278125,-0.10083266347646713,0.020841563120484352,-0.12102032452821732
1772562221646763300,0.47276318359375,-0.06337369978427887,-0.0660960003733635,-0.17109762132167816
1772562221656746500,0.48274658203125,-0.04157133027911186,-0.16681213676929474,-0.2211131453514099
1772562221666729200,0.492729248046875,-0.05686480179429054,-0.27531224489212036,-0.2597295045852661
1772562221676711400,0.50271142578125,-0.10427306592464447,-0.32561591267585754,-0.29055824875831604
1772562221686694400,0.5126943359375,-0.11559895426034927,-0.30908459424972534,-0.2972579598426819
1772562221696676400,0.52267626953125,-0.1039828360080719,-0.2667900323867798,-0.284241259098053
1772562221706659300,0.532659423828125,-0.08890002965927124,-0.18893997371196747,-0.24985665082931519
1772562221716642300,0.542642333984375,-0.11023703962564468,-0.14918772876262665,-0.2150188684463501
1772562221726624300,0.552624267578125,-0.14896446466445923,-0.09410078078508377,-0.1730586439371109
1772562221736607200,0.562607177734375,-0.18265117704868317,-0.07621736824512482,-0.13463976979255676
1772562221746589200,0.572589111328125,-0.21262557804584503,-0.0872575044631958,-0.1071343794465065
1772562221756572200,0.582572265625,-0.23337718844413757,-0.12604118883609772,-0.08404835313558578
1772562221766555400,0.592555419921875,-0.24128064513206482,-0.1659899353981018,-0.05844205245375633
1772562221776537000,0.602537109375,-0.2530621886253357,-0.1975349634885788,-0.038166534155607224
1772562221786520300,0.612520263671875,-0.2697035074234009,-0.22917625308036804,-0.027593255043029785
1772562221796502300,0.622502197265625,-0.2873603403568268,-0.26188337802886963,-0.025216953828930855
1772562221806485200,0.6324853515625,-0.30536943674087524,-0.2846539318561554,-0.027268918231129646
1772562221816467200,0.64246728515625,-0.3167189061641693,-0.2880105972290039,-0.03289199620485306
1772562221826450400,0.652450439453125,-0.324358195066452,-0.2865924835205078,-0.03483610227704048
1772562221836433400,0.662433349609375,-0.32779520750045776,-0.28445902466773987,-0.0397477000951767
1772562221846415400,0.672415283203125,-0.321612149477005,-0.28719836473464966,-0.04229288175702095
