time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1772556491025275400,0.086275390625,-0.9237258302718793,0.1492096841183129,-0.44363273131752273,-0.07200254961937261,0.8763439013031931,-0.1137889063942632,0.3709263735377628
1772556491035259400,0.09625927734375,-0.9208664928956566,0.14892352980672396,-0.44257821775337025,-0.07479627481012875,0.8767829182144614,-0.11488292261982658,0.37131010971897505
1772556491045243400,0.106243408203125,-0.9180108271637532,0.1474061676474894,-0.44167589115678274,-0.0789646612956814,0.877329997049775,-0.11612944330968723,0.36958754268315075
1772556491055226400,0.116226318359375,-0.9154708094527165,0.14456767613030838,-0.44106725222178755,-0.08470320505484577,0.8779084892392708,-0.11762945547308687,0.3656960252649218
1772556491065210400,0.12621044921875,-0.9134730964299274,0.14058493488882684,-0.4408234594844015,-0.09198062908362996,0.8784276977138049,-0.1194791196403249,0.360055098324543
1772556491075194400,0.1361943359375,-0.9118874262451213,0.1359520105100082,-0.4408248633549311,-0.10040709606641446,0.8788522791384873,-0.12169272555858159,0.35357495766416847
1772556491085178400,0.146178466796875,-0.9103878834668656,0.13153433745985257,-0.44082970067946786,-0.10899548942941747,0.8791832884620903,-0.12411502762049915,0.3476749176541403
1772556491095162400,0.156162353515625,-0.9086271168334168,0.12834988628185579,-0.44058833746734866,-0.11646430525154083,0.8794353547472505,-0.12649811112835194,0.34396028089384467
1772556491105146400,0.166146484375,-0.9063163744622829,0.12721786189348916,-0.4399102188115268,-0.12170669782997706,0.8796349762877205,-0.12859634920347246,0.34367797638038944
1772556491115130400,0.17613037109375,-0.9034193605667473,0.12858825060431214,-0.43874112641403945,-0.12396025710508489,0.8797842888087061,-0.1301957784212961,0.34745322829581965
1772556491125113600,0.186113525390625,-0.9002400038629068,0.13218293318042035,-0.43723562544724026,-0.1235232130011225,0.8798301976280338,-0.13134532461478776,0.35485540516301006
1772556491135097300,0.196097412109375,-0.8971013304634877,0.13719686211086662,-0.4355910191460218,-0.12128848944920201,0.8797541049041703,-0.13217493690853538,0.3645698372207782
1772556491145081300,0.206081298828125,-0.8942634447975465,0.14278041833164667,-0.4339715156325588,-0.1179750219882096,0.879586841091151,-0.13270080324774985,0.37508572089045855
1772556491155065300,0.2160654296875,-0.8920374407606775,0.1482143400541388,-0.43256022361588414,-0.11409967937850585,0.8793526123274251,-0.1329031761741779,0.3850900456933683
1772556491165049300,0.22604931640625,-0.8907168475173071,0.15302364456803022,-0.4315238105422434,-0.10997592824647301,0.8790582544198123,-0.13276929657271364,0.393712618244617
1772556491175033300,0.236033447265625,-0.890321918380564,0.15698429803149758,-0.4308984447433033,-0.10578056154937047,0.8787370964320983,-0.13230081270935337,0.4005363326333379
1772556491185016300,0.246016357421875,-0.8905952747910207,0.15997228694966792,-0.43060407931582506,-0.10177543379064004,0.878453960235888,-0.13155806446560317,0.4053663601898644
1772556491195000300,0.256000244140625,-0.8911425269582597,0.16189345212414258,-0.43049970727689957,-0.09820256638621777,0.8782983043787266,-0.13058510133717852,0.40804455181456084
1772556491204984300,0.265984375,-0.8917147936289374,0.16274955705955044,-0.4304844804752836,-0.09505228053909706,0.8783306914980576,-0.1293482376963962,0.40852994509507734
1772556491214968300,0.27596826171875,-0.8920995246315319,0.16262375511348606,-0.4304679164207337,-0.0923347529154208,0.8785790021927445,-0.12786612191391644,0.4069825585748449
1772556491224952600,0.28595263671875,-0.892362431561284,0.16167777901324848,-0.4304676877380953,-0.08997802716022553,0.8789972266417077,-0.12618131705633667,0.4037424134660491
1772556491234936800,0.295936767578125,-0.8926466309976645,0.1601686671549409,-0.4305287683318094,-0.08791864407537558,0.8794981081352202,-0.12439468404511354,0.3993798372149965
1772556491244919600,0.30591943359375,-0.8930290243138024,0.1583832492542133,-0.43066388860529803,-0.08608036440990503,0.8800061939919546,-0.12260691995578728,0.39451579760885985
1772556491254903600,0.315903564453125,-0.8935365883532659,0.15662128389116356,-0.4308500776766273,-0.08418711216478597,0.8804785656814449,-0.12081145734383246,0.3896953439607101
1772556491264887600,0.325887451171875,-0.8940092437406433,0.15511546086835382,-0.43099411108210656,-0.08206862562992975,0.8809202498176337,-0.11900794580072135,0.3853377577809822
1772556491274871600,0.33587158203125,-0.8941820569297151,0.1540762930108712,-0.43096001333138445,-0.07957992820800809,0.8813628774037973,-0.11718952162775209,0.38181161812057707
1772556491284855600,0.34585546875,-0.8937989128519314,0.15361855264530752,-0.4306256791492431,-0.07666497094751891,0.8818481524622456,-0.11535427957871089,0.3793163526231209
1772556491294839600,0.355839599609375,-0.8927355124756707,0.15372522628103966,-0.42993598227622387,-0.07331921065949104,0.8824091592902387,-0.11348002521867895,0.37779879110222375
1772556491304823600,0.365823486328125,-0.8909835286257098,0.1542745258025375,-0.428907115802028,-0.06977678398527795,0.8830489064864674,-0.11163608050352176,0.37710122100070104
1772556491314806800,0.375806884765625,-0.8886895995364662,0.155103703324773,-0.4276307737222939,-0.0663518861240308,0.8837362779608715,-0.10993122831260316,0.37703084732680464
